"date","name","description","type","locations"
"1981-12-08","Feast of the Immaculate Conception","Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.","Christian","All"
"1981-12-21","First Day of Hanukkah","The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"1981-12-22","December Solstice",NA,"Season","All"
"1981-12-24","Christmas Eve","Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.","Observance","All"
"1981-12-25","Christmas Day","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.","National holiday, Christian","All"
"1981-12-26","Boxing Day","December 26 is the Boxing Day holiday celebrated in Australia.","National holiday, Christian","All except SA"
"1981-12-27","Proclamation Day","December 26 is the Boxing Day holiday celebrated in Australia.","Local holiday","SA"
"1981-12-28","Last day of Hanukkah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"1981-12-28","Christmas/Boxing Day Holiday","December 28 is a substitute public holiday in many parts of Australia in some years, depending on when Christmas Day and Boxing Day occur.","National holiday","All"
"1981-12-31","New Year's Eve","Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.","Observance","All"
"1982-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"1982-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"1982-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"1982-01-08","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"1982-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"1982-01-25","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"1982-02-01","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"1982-02-08","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"1982-02-08","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"1982-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"1982-02-23","Carnival / Shrove Tuesday","Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.","Christian","All"
"1982-02-24","Ash Wednesday","Ash Wednesday marks the first day of Lent in for many Christians in Australia.","Christian","All"
"1982-03-01","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
