"date","name","description","type","locations"
"1986-05-27","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1986-05-29","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"1986-06-02","Foundation Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"1986-06-04","Laylatul Qadr (Night of Power)","Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"1986-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"1986-06-09","Eid ul Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"1986-06-09","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","Qld"
"1986-06-09","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"1986-06-13","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"1986-06-22","June Solstice",NA,"Season","All"
"1986-07-06","First Day of NAIDOC Week",NA,"Observance","All"
"1986-08-04","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"1986-08-04","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"1986-08-13","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"1986-08-14","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"1986-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"1986-08-16","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"1986-09-06","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"1986-09-07","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"1986-09-23","September Equinox",NA,"Season","All"
"1986-09-29","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"1986-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"1986-10-04","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"1986-10-06","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT"
"1986-10-13","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"1986-10-13","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","SA"
"1986-10-18","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"1986-10-19","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"1986-10-24","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"1986-10-25","Shemini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1986-10-26","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1986-10-31","Halloween","Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.","Observance","All"
"1986-11-01","All Saints' Day","Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.","Christian","All"
"1986-11-02","All Souls' Day","All Souls’ Day is observed among some Christians in Australia on November 2 each year.","Christian","All"
"1986-11-03","First Monday of November","Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.","Local holiday","Tas (northern)"
"1986-11-04","Melbourne Cup Day","Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.","Local holiday","Vic (partly)"
"1986-11-11","Remembrance Day","Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.","Observance","All"
"1986-11-15","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"1986-11-30","First Sunday of Advent","Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.","Observance","All"
"1986-12-08","Feast of the Immaculate Conception","Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.","Christian","All"
"1986-12-22","December Solstice",NA,"Season","All"
"1986-12-24","Christmas Eve","Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.","Observance","All"
"1986-12-25","Christmas Day","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.","National holiday, Christian","All"
"1986-12-26","Boxing Day","December 26 is the Boxing Day holiday celebrated in Australia.","National holiday, Christian","All except SA"
"1986-12-27","First Day of Hanukkah","The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"1986-12-27","Proclamation Day","December 26 is the Boxing Day holiday celebrated in Australia.","Local holiday","SA"
"1986-12-31","New Year's Eve","Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.","Observance","All"
"1987-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"1987-01-03","Last day of Hanukkah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"1987-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"1987-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"1987-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"1987-01-26","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"1987-01-29","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"1987-02-09","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"1987-02-14","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"1987-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"1987-03-02","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
"1987-03-02","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
