"","date_id","calendar_date","year_num","month_num","day_num","week_num","week_num_year","year_week_num","day_name","day_name_abbrev","day_number","weekend_ind","season","event_name","event_type","holiday_ind"
"132",19800514,1980-05-14,1980,2,14,19,1980,"1980-19","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"133",19800515,1980-05-15,1980,2,15,19,1980,"1980-19","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"134",19800516,1980-05-16,1980,2,16,20,1980,"1980-20","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"135",19800517,1980-05-17,1980,2,17,20,1980,"1980-20","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"136",19800518,1980-05-18,1980,2,18,20,1980,"1980-20","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"137",19800519,1980-05-19,1980,2,19,20,1980,"1980-20","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"138",19800520,1980-05-20,1980,2,20,20,1980,"1980-20","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"139",19800521,1980-05-21,1980,2,21,20,1980,"1980-20","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"140",19800522,1980-05-22,1980,2,22,20,1980,"1980-20","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"141",19800523,1980-05-23,1980,2,23,21,1980,"1980-21","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"142",19800524,1980-05-24,1980,2,24,21,1980,"1980-21","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"143",19800525,1980-05-25,1980,2,25,21,1980,"1980-21","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"144",19800526,1980-05-26,1980,2,26,21,1980,"1980-21","Monday","Mon",2,FALSE,"Winter","Memorial Day","National holiday",TRUE
"145",19800527,1980-05-27,1980,2,27,21,1980,"1980-21","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"146",19800528,1980-05-28,1980,2,28,21,1980,"1980-21","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"147",19800529,1980-05-29,1980,2,29,21,1980,"1980-21","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"148",19800530,1980-05-30,1980,2,30,22,1980,"1980-22","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"149",19800531,1980-05-31,1980,2,31,22,1980,"1980-22","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"150",19800601,1980-06-01,1980,2,1,22,1980,"1980-22","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"151",19800602,1980-06-02,1980,2,2,22,1980,"1980-22","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"152",19800603,1980-06-03,1980,2,3,22,1980,"1980-22","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"153",19800604,1980-06-04,1980,2,4,22,1980,"1980-22","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"154",19800605,1980-06-05,1980,2,5,22,1980,"1980-22","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"155",19800606,1980-06-06,1980,2,6,23,1980,"1980-23","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"156",19800607,1980-06-07,1980,2,7,23,1980,"1980-23","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"157",19800608,1980-06-08,1980,2,8,23,1980,"1980-23","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"158",19800609,1980-06-09,1980,2,9,23,1980,"1980-23","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"159",19800610,1980-06-10,1980,2,10,23,1980,"1980-23","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"160",19800611,1980-06-11,1980,2,11,23,1980,"1980-23","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"161",19800612,1980-06-12,1980,2,12,23,1980,"1980-23","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"162",19800613,1980-06-13,1980,2,13,24,1980,"1980-24","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"163",19800614,1980-06-14,1980,2,14,24,1980,"1980-24","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"164",19800615,1980-06-15,1980,2,15,24,1980,"1980-24","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"165",19800616,1980-06-16,1980,2,16,24,1980,"1980-24","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"166",19800617,1980-06-17,1980,2,17,24,1980,"1980-24","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"167",19800618,1980-06-18,1980,2,18,24,1980,"1980-24","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"168",19800619,1980-06-19,1980,2,19,24,1980,"1980-24","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"169",19800620,1980-06-20,1980,2,20,25,1980,"1980-25","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"170",19800621,1980-06-21,1980,2,21,25,1980,"1980-25","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"171",19800622,1980-06-22,1980,2,22,25,1980,"1980-25","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"172",19800623,1980-06-23,1980,2,23,25,1980,"1980-25","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"173",19800624,1980-06-24,1980,2,24,25,1980,"1980-25","Tuesday","Tue",3,FALSE,"Winter",NA,NA,FALSE
"174",19800625,1980-06-25,1980,2,25,25,1980,"1980-25","Wednesday","Wed",4,FALSE,"Winter",NA,NA,FALSE
"175",19800626,1980-06-26,1980,2,26,25,1980,"1980-25","Thursday","Thu",5,FALSE,"Winter",NA,NA,FALSE
"176",19800627,1980-06-27,1980,2,27,26,1980,"1980-26","Friday","Fri",6,FALSE,"Winter",NA,NA,FALSE
"177",19800628,1980-06-28,1980,2,28,26,1980,"1980-26","Saturday","Sat",7,TRUE,"Winter",NA,NA,FALSE
"178",19800629,1980-06-29,1980,2,29,26,1980,"1980-26","Sunday","Sun",1,TRUE,"Winter",NA,NA,FALSE
"179",19800630,1980-06-30,1980,2,30,26,1980,"1980-26","Monday","Mon",2,FALSE,"Winter",NA,NA,FALSE
"180",19800701,1980-07-01,1980,3,1,26,1980,"1980-26","Tuesday","Tue",3,FALSE,"Spring",NA,NA,FALSE
"181",19800702,1980-07-02,1980,3,2,26,1980,"1980-26","Wednesday","Wed",4,FALSE,"Spring",NA,NA,FALSE
"182",19800703,1980-07-03,1980,3,3,26,1980,"1980-26","Thursday","Thu",5,FALSE,"Spring",NA,NA,FALSE
"183",19800704,1980-07-04,1980,3,4,27,1980,"1980-27","Friday","Fri",6,FALSE,"Spring","Independence Day","National holiday",TRUE
"184",19800705,1980-07-05,1980,3,5,27,1980,"1980-27","Saturday","Sat",7,TRUE,"Spring",NA,NA,FALSE
"185",19800706,1980-07-06,1980,3,6,27,1980,"1980-27","Sunday","Sun",1,TRUE,"Spring",NA,NA,FALSE
"186",19800707,1980-07-07,1980,3,7,27,1980,"1980-27","Monday","Mon",2,FALSE,"Spring",NA,NA,FALSE
"187",19800708,1980-07-08,1980,3,8,27,1980,"1980-27","Tuesday","Tue",3,FALSE,"Spring",NA,NA,FALSE
"188",19800709,1980-07-09,1980,3,9,27,1980,"1980-27","Wednesday","Wed",4,FALSE,"Spring",NA,NA,FALSE
"189",19800710,1980-07-10,1980,3,10,27,1980,"1980-27","Thursday","Thu",5,FALSE,"Spring",NA,NA,FALSE
"190",19800711,1980-07-11,1980,3,11,28,1980,"1980-28","Friday","Fri",6,FALSE,"Spring",NA,NA,FALSE
"191",19800712,1980-07-12,1980,3,12,28,1980,"1980-28","Saturday","Sat",7,TRUE,"Spring",NA,NA,FALSE
"192",19800713,1980-07-13,1980,3,13,28,1980,"1980-28","Sunday","Sun",1,TRUE,"Spring",NA,NA,FALSE
"193",19800714,1980-07-14,1980,3,14,28,1980,"1980-28","Monday","Mon",2,FALSE,"Spring",NA,NA,FALSE
"194",19800715,1980-07-15,1980,3,15,28,1980,"1980-28","Tuesday","Tue",3,FALSE,"Spring",NA,NA,FALSE
"195",19800716,1980-07-16,1980,3,16,28,1980,"1980-28","Wednesday","Wed",4,FALSE,"Spring",NA,NA,FALSE
"196",19800717,1980-07-17,1980,3,17,28,1980,"1980-28","Thursday","Thu",5,FALSE,"Spring",NA,NA,FALSE
"197",19800718,1980-07-18,1980,3,18,29,1980,"1980-29","Friday","Fri",6,FALSE,"Spring",NA,NA,FALSE
"198",19800719,1980-07-19,1980,3,19,29,1980,"1980-29","Saturday","Sat",7,TRUE,"Spring",NA,NA,FALSE
"199",19800720,1980-07-20,1980,3,20,29,1980,"1980-29","Sunday","Sun",1,TRUE,"Spring",NA,NA,FALSE
"200",19800721,1980-07-21,1980,3,21,29,1980,"1980-29","Monday","Mon",2,FALSE,"Spring",NA,NA,FALSE
"201",19800722,1980-07-22,1980,3,22,29,1980,"1980-29","Tuesday","Tue",3,FALSE,"Spring",NA,NA,FALSE
"202",19800723,1980-07-23,1980,3,23,29,1980,"1980-29","Wednesday","Wed",4,FALSE,"Spring",NA,NA,FALSE
"203",19800724,1980-07-24,1980,3,24,29,1980,"1980-29","Thursday","Thu",5,FALSE,"Spring",NA,NA,FALSE
"204",19800725,1980-07-25,1980,3,25,30,1980,"1980-30","Friday","Fri",6,FALSE,"Spring",NA,NA,FALSE
"205",19800726,1980-07-26,1980,3,26,30,1980,"1980-30","Saturday","Sat",7,TRUE,"Spring",NA,NA,FALSE
"206",19800727,1980-07-27,1980,3,27,30,1980,"1980-30","Sunday","Sun",1,TRUE,"Spring",NA,NA,FALSE
"207",19800728,1980-07-28,1980,3,28,30,1980,"1980-30","Monday","Mon",2,FALSE,"Spring",NA,NA,FALSE
"208",19800729,1980-07-29,1980,3,29,30,1980,"1980-30","Tuesday","Tue",3,FALSE,"Spring",NA,NA,FALSE
"209",19800730,1980-07-30,1980,3,30,30,1980,"1980-30","Wednesday","Wed",4,FALSE,"Spring",NA,NA,FALSE
"210",19800731,1980-07-31,1980,3,31,30,1980,"1980-30","Thursday","Thu",5,FALSE,"Spring",NA,NA,FALSE
"211",19800801,1980-08-01,1980,3,1,31,1980,"1980-31","Friday","Fri",6,FALSE,"Spring",NA,NA,FALSE
